"post_id","caption","comments_count","like_count","media_type","timestamp","username","owner_id"
"17842042390785229","강력크한 구내염이 또 생겨서.. ㅜㅜ 비타민c메가도스 들어갑니다.. 계절이 바껴서 털갈이? 같은건가

구내염이.. 비타민c 12그람 고고싱",45,273,FEED,"2019-10-31T23:46:44+0000",yakstory119,"17841408303249847"
"17842065436878014","샌드박스 연말파티? 참석차 서울행 기차를

타러왔습니다

입이 심심해서

커피를 구매하고 당수치를 보니

이거 한병에 하루 당 권장량 거의

가득이네요;;; 하루만 일탈을..
#내일도일탈을
#모레도일탈을",16,231,FEED,"2019-12-11T06:46:54+0000",yakstory119,"17841408303249847"
"17842229714274537","마그네슘 섭취가 어려우시거나

위장장애나 부작용이 있는 분은

물에 뿌려서 사용하는 타입이 있어용",13,209,FEED,"2020-06-25T08:13:50+0000",yakstory119,"17841408303249847"
"17842310440932892","먹방 영상 최초로 찍어봤습니다

마그네슘을 음식으로 채워보고

직접 먹어봤는데

먹방 엄청 어려운겁니다 하하하핳

하악 하악
#먹방#마그네슘",8,183,FEED,"2020-01-10T08:58:44+0000",yakstory119,"17841408303249847"
"17842337296453183","기쁜 마음에 퇴근 합니다.  메일 상담 답변은 7일자까지 드리고.  영상 댓글에 답글 다 달고 
약국 정리하니 이시간이네여 ㅎ

바쁘게 살수 있다는건 축복인거 같습니다
행복한 하루입니다
여기서 건강만 잘 지키면 더더 행복할껀데

운동은 안하고 영양제만 믿고 있는 내 자신이
무섭.....
즐거운 주말 보내세요 
#퇴근#내일출근",46,290,FEED,"2019-05-10T12:17:59+0000",yakstory119,"17841408303249847"
"17842405160102605","서울은 길하나 건너려면 신호등 두번 받는거

아시는분?? hahaha

오늘 회의가 있는 건물 입니다 
이번주만 이동네 3일째네요 하하하하

날이 참 좋아요 꽃도 예뻐요

기분 좋아요 
마스크 구매행렬이 줄었어요

다들 힘내세요

배고파용 (의식의 흐름대로 글써보기)",17,380,FEED,"2020-04-04T08:19:24+0000",yakstory119,"17841408303249847"
"17842540641024001","안녕하세요 인친님들 ☺️☺️

오늘은 뱃살의 원인이 되는 뚱보균

유해균을 억제하는 가장 검증된 3가지 

영양제 조합을 안내드리겠습니다 

쌀을 찌우게 만드는 뚱보균 비만균은 대표적인게

퍼미큐테스(Frimicutes)라는 장내균들 입니다

일반적인 유산균 등의 유익균의 비율이 줄고

퍼미큐테스 균들이 늘어나게 되면 

과잉 당을 발효 시켜서 지방산을 촉진하고 

식욕억제 호르몬인 렙틴을 억제해서

식욕을 높이는 작용이 있고 

이는 바로 뱃살의 증가로 이어지게 되는 것이죠🧐

따라서 이런 뚱보균을 억제를 효율적으로 하면

장내 환경이 개선되고 더 나아가서는 

비만을 개선 시킬수가 있게 됩니다☺️☺️

그럼 효율적으로 뚱보균을 억제하는 방법을 알아보자면

1️⃣ 유해균(뚱보균) 자체를 직접 줄이는 것 입니다 

유해균을 직접 사멸시키는 보충제는 
베르베린, 자몽씨 추출물, 오레가노 오일 및 
프로폴리스 락토페린 등이 있고 이중에서 가장 
검증된 보충제 성분은 베르베린 입니다 

베르베린을 하루 500-1000mg (1-2캡슐을)
1-2주간 먼저 섭취해서 유해균을 억제하는 방식으로
전처리를 합니다 
(베르베린은 장에 자극이 좀 되니 체크 필요)

2️⃣ 유익균을 듬뿍 공급하는 방법
유해균을 어느정도 억제 했으면 좋은 균을 
꾸준히 섭취하는 것 입니다.

잘 알려진 조율된 검증된 유산균을 듬뿍 넣어주는 것
1알에 100억보장 균주의 유산균을 하루 2-3알이상
꾸준히 섭취해주면서 채워주는 것 입니다. 

3️⃣ 프리바이오틱스 섭취 
유익균의 먹이가 되는 프리바이오틱스를 섭취해서 
유익균의 증식을 확 늘리는 부스터로 활용을 하셔야 합니다 

프리바이오틱스 중에 가장 효과적인 성분은 
바로 자일로 올리고당 입니다.

섭취 용량도 적고 유익균 증식속도와 양 모두 
더 뛰어납니다. 

이 3가지를 조합해주시면
뚱보균을 효과적으로 억제 할 수 있습니다 

그럼에도 가장 중요한 체중감량 방법, 뱃살뺴는 법은
당 섭취량을 줄이고 간헐적 단식을 하는 것이죠

오늘 컨텐츠가 도움이 되셨다면 😁😁

좋아요 👏
팔로우 ✅

부탁드립니다 😄😄

감사합니다!!

#뱃살#뱃살빼는법#다이어트#체중감량#살빼는법#뚱보균#비만균#비만#영양제#약사#약들약#고약사#약사가들려주는약이야기",267,4791,REELS,"2023-07-05T05:30:22+0000",yakstory119,"17841408303249847"
"17842678187230331","오늘 영양제는 
유기농 마카

엽록소

리포소말 비타민씨 입니다

디톡스 디톡스

오늘 운동이 있기에 ㅎㅎ",19,262,FEED,"2020-06-05T07:16:08+0000",yakstory119,"17841408303249847"
"17842728275955671","안녕하십니까 인친 여러분 갓독자님들👍

오늘은 제가 실제 먹고 있는 
성인병을 예방하고 혈관을 보호하는

강력한 영양제 세 가지를 말씀드릴게요

어느 정도 검증이 되어 있고 실제로
도움을 받고 있는 구성입니다

1️⃣ 숙성마늘과 나토키나아제
마늘은 검증된 혈관 보호 식품 입니다
강력한 항산화 성분 그러면서 동시에 항 염증 작용이 있죠

혈관을 이완 시키고 콜레스테롤을 조절 하는 등
성인병예방에 도움을 주면서 동시에 
혈관을 보호 합니다

나토키나아제는 혈전을 조절 하고
혈관을 이완하는 작용으로 혈관이 막히지 않게 하는
검증된 성분 이구요

2️⃣ 레스베라트롤
레스 베라 트롤은 가장 연구가 많이 된 식물성 항산화 성분입니다
암을 예방 하고 용종을 제거 하는 작용이 있고

강력한 항산화 항염중 성분이기도하고용

3️⃣ 리포조말 퀘르세틴
퀘르세틴이라는 항산화 성분은 쓰리 대단히 낮아서
미포조말 성분으로 섭취 하시면 흡수에 도움이 되고

레스베라트롤과 마찬가지로 강력한 항산화 항 염증 작용으로
혈관을 보호합니다  히스타민을 조절하기도해서
알러지 면역계 과잉반응도 조절합니다

이런 비슷한 성분끼리 복합 섭취 하면 시너지가 나는
구성이지요!!

구예방적 측면으로 접근 하시고 섭취하시면
성인병 예방과 혈관 건강 유지에 도움이 되실 겁니다😀😀

도움이 되셨으면은 
좋아요👍
팔로우✅

감사합니다😀😀

#혈관건강#성인병#고혈압#당뇨#고지혈증#약들약#고약사#만성염증#염증#약사가들려주는약이야기",207,2563,REELS,"2023-03-03T11:10:54+0000",yakstory119,"17841408303249847"
"17842796458593273","요즘 푹빠져 있는 흑당밀크티

중독성 강합니다",15,182,FEED,"2019-08-09T23:56:26+0000",yakstory119,"17841408303249847"
"17842988821571156","성산일출봉 급 보고 왔습니다 비행기 시간의

압박으로 맛만 보고 .. #더위로 사망할뻔",5,226,FEED,"2019-08-04T08:39:25+0000",yakstory119,"17841408303249847"
"17843021338842441","맛불리님 영상 보고 구매한 코코넛오일

엑스트라 버진 코코넛오일

mct 중쇄사슬지방산으로 다이어트

기름으로 알려져 있는데

코코넛 오일의 특정 성분 덕에

세균을 억누르는 효과가 뛰어나서

장에 좋고요

충치나 구취 제거 디톡스 목적으로

오일풀링(가글)을 하시는 분도 계시더군요

#코코넛오일",15,206,FEED,"2019-12-04T04:58:29+0000",yakstory119,"17841408303249847"
"17843034596261336","경포대 해수욕장

파도소리 asmr

굿밤 되세요!! #asmr",16,293,FEED,"2020-06-27T10:37:45+0000",yakstory119,"17841408303249847"
"17843068163140859","예전부터 해보고 싶었던게 
직접 뜨거운곳에 일정 시간 오메가3룰

보관하면 산패도가 어떻게 변하는지

알아보고 싶었어요 ㅋㅋ

온장고에 7일간 30도 40도 정도로 셋팅해서

보관해보려고 합니다 ㅎㅎ

그리고 맛과 냄새를 직접 체크하고

검사 보낼 예정입니다",54,649,FEED,"2020-05-01T23:44:54+0000",yakstory119,"17841408303249847"
"17843079292580312","오늘 중으로 영상 업로드할께 생겨서

약국으러 출근중.. 주7일 출근을 하다니 ..",12,190,FEED,"2019-08-11T00:20:50+0000",yakstory119,"17841408303249847"
"17843129099535050","스튜디오 흡음 작업을 

했습니다 ㅎㅎ 별건 아나고

흡음재를 붙이는건데

생각보다 주문을 덜해서 ㅋㅋ

급한대로 적업을 했습니다

확실히 소리가 덜 울리네요 *^^*",13,268,FEED,"2021-03-02T03:47:41+0000",yakstory119,"17841408303249847"
"17843224889241152","아세틸 글루타치온 200mg 
리포조말 비타민c 1000mg

비타민비군

발효마늘엑기스

가즈아

동안 피부 가즈아",14,321,FEED,"2020-06-15T07:28:43+0000",yakstory119,"17841408303249847"
